"Cylinders","Fuel_Type","City_MPG","Highway_MPG","CO2_Emissions"
"4","Diesel",37.3,42.4,280
"4","Gasoline",31.1,34.8,245
"4","Gasoline",48.8,52.7,108
"6","Diesel",22.7,27,410
"4","Gasoline",35.6,40,196
"6","Diesel",39.5,44.2,214
"3","Hybrid",43.9,48.7,101
"6","Gasoline",29.2,35.4,287
"6","Diesel",39,45.6,166
"6","Gasoline",25.6,30.8,237
"6","Gasoline",30.2,39.6,353
"6","Gasoline",46.3,53.2,151
"8","Gasoline",48.2,56.7,185
"4","Gasoline",40.2,49.7,206
"4","Gasoline",28.1,32.2,155
"3","Hybrid",43.7,49.7,220
"3","Diesel",15.9,21.9,348
"4","Hybrid",18.6,24.1,503
"4","Gasoline",38.1,41.2,229
"4","Gasoline",25.2,33.9,221
"4","Gasoline",48.3,52.1,137
"3","Gasoline",30.3,40.3,288
"8","Gasoline",30,38.4,250
"3","Diesel",38.7,45.8,227
"6","Gasoline",41.9,46,117
"4","Gasoline",31.6,38.2,305
"8","Gasoline",22.5,27.3,263
"6","Gasoline",42.1,46.9,206
"6","Gasoline",26.2,35,155
"6","Gasoline",21.1,26.8,274
"3","Diesel",37.1,43.3,235
"8","Gasoline",18.2,27.1,271
"6","Diesel",49,52.6,225
"6","Gasoline",37.1,44.3,234
"6","Gasoline",49.5,56.5,214
"4","Hybrid",26.9,32.9,241
"6","Gasoline",49,57.8,76
"4","Gasoline",20.1,29.7,353
"4","Hybrid",16.4,22.7,344
"3","Gasoline",16.2,22.4,397
"8","Gasoline",31.3,37.8,281
"4","Diesel",17.9,26,450
"4","Diesel",32.9,40.6,109
"4","Gasoline",26.5,31.1,364
"6","Gasoline",26.7,30.1,284
"6","Hybrid",37.2,46.8,205
"4","Gasoline",20.7,25.5,275
"3","Gasoline",41.8,49.3,163
"6","Gasoline",35.4,44.2,250
"8","Hybrid",47,52.1,213
"6","Gasoline",27.8,35.2,227
"4","Diesel",49.4,53.2,191
"8","Gasoline",35.2,45,150
"4","Gasoline",49.1,52.5,217
"4","Diesel",15.9,22,479
"4","Hybrid",40.5,47.3,240
"4","Gasoline",43.6,52.1,166
"6","Gasoline",16.9,20.7,306
"4","Hybrid",35.3,41.4,196
"4","Diesel",43.1,48.2,155
"4","Gasoline",34.6,39.8,179
"3","Gasoline",17.2,25.7,261
"4","Diesel",39.3,42.3,255
"4","Diesel",17.1,25.3,213
"4","Hybrid",43.6,52.3,240
"6","Gasoline",16.5,25.8,250
"6","Gasoline",19.8,27.2,524
"6","Diesel",24.6,29.9,455
"4","Gasoline",37.2,43.2,180
"6","Gasoline",49.2,59,229
"8","Gasoline",19.1,28.3,479
"6","Gasoline",20,26.2,194
"6","Gasoline",27.9,37.5,368
"4","Diesel",44.3,53.1,85
"8","Diesel",31.4,40.7,148
"4","Gasoline",26.3,34.1,294
"4","Gasoline",34.6,43.6,114
"4","Gasoline",24.1,33.3,180
"3","Diesel",29,32.6,393
"8","Gasoline",26.6,36.4,395
"4","Diesel",43.1,48.4,235
"4","Gasoline",47.3,53.4,164
"6","Gasoline",41.6,50.1,254
"4","Diesel",30.4,38.1,138
"3","Gasoline",32.7,42,321
"6","Gasoline",19.4,25.2,306
"6","Gasoline",41.1,46.7,257
"4","Gasoline",35.9,39.1,256
"6","Gasoline",46.6,52.8,245
"4","Gasoline",22,30.1,434
"4","Diesel",41.6,46.7,261
"4","Diesel",39,45.2,220
"4","Diesel",24.3,28.8,416
"6","Gasoline",38.4,46.8,244
"6","Diesel",47.4,50.8,105
"4","Gasoline",47.1,55,185
"4","Gasoline",40.2,45.9,117
"6","Gasoline",16.7,20,619
"4","Hybrid",45.5,54.5,87
"4","Gasoline",38,44.4,301
"8","Hybrid",25.9,33.1,246
"6","Gasoline",21.6,29.7,204
"8","Gasoline",19.1,26.7,521
"4","Gasoline",16.8,24.9,199
"6","Diesel",41.4,49.7,173
"4","Gasoline",23.3,30.4,391
"4","Hybrid",15.8,21.4,351
"4","Hybrid",28.9,33.6,268
"4","Diesel",31.9,41.2,270
"4","Gasoline",20.9,30.7,468
"4","Hybrid",16.5,22,241
"3","Hybrid",21.6,25.4,218
"6","Gasoline",38.8,43.4,200
"4","Diesel",17.9,25.6,341
"3","Gasoline",34.4,38.6,201
"4","Gasoline",20.1,28.6,261
"4","Gasoline",21.8,31.3,326
"6","Gasoline",28.8,38.5,341
"3","Gasoline",18.5,21.6,257
"6","Gasoline",21.1,30.8,217
"3","Diesel",27.2,35.4,307
"4","Hybrid",26.5,30.1,150
"6","Hybrid",41.2,47.1,218
"6","Gasoline",17.6,25.5,302
"3","Diesel",45.1,54.8,138
"6","Gasoline",43.6,47.7,160
"4","Diesel",41.8,45.7,156
"6","Gasoline",25.8,32.1,384
"6","Gasoline",43.8,53.6,247
"6","Diesel",21.4,31.2,325
"8","Gasoline",19.4,24,407
"4","Gasoline",16.6,21.8,227
"6","Hybrid",47.9,57.3,190
"4","Gasoline",25.8,33.9,297
"3","Gasoline",47.1,56.9,81
"3","Gasoline",24.5,33.8,188
"4","Gasoline",46.8,51.3,112
"6","Gasoline",46.6,54.9,103
"4","Diesel",47.3,50.6,194
"4","Gasoline",32.4,41.1,323
"3","Hybrid",45.3,52.5,213
"4","Gasoline",48.3,58,149
"8","Gasoline",26.4,36.1,233
"4","Diesel",29.7,33.1,227
"6","Diesel",40.2,44.3,213
"6","Diesel",25.5,31.9,240
"6","Hybrid",41.4,50.6,125
"4","Gasoline",17.6,26.3,411
"6","Gasoline",33.3,43.1,188
"4","Hybrid",19.3,26.6,169
"6","Gasoline",25.3,30.1,142
"4","Gasoline",24.1,27.3,239
"4","Gasoline",44.4,49,176
"3","Diesel",21.8,29.5,267
"6","Gasoline",43.3,52.8,82
"4","Gasoline",42.8,48,126
"4","Gasoline",32.5,41.6,124
"4","Diesel",23.2,29,462
"8","Gasoline",22.9,28.1,254
"6","Gasoline",31.3,37.9,112
"4","Diesel",15.3,21.4,519
"6","Hybrid",33.6,43,151
"4","Diesel",48.3,54.6,169
"4","Diesel",20.4,25.3,222
"8","Gasoline",35.1,44,313
"4","Gasoline",48.7,58.7,228
"4","Gasoline",45.1,52.6,194
"4","Hybrid",44.8,49.6,211
"4","Gasoline",43.8,48.5,162
"4","Hybrid",25.8,29.2,443
"4","Hybrid",46.2,49.7,156
"4","Gasoline",47.9,57.3,111
"4","Gasoline",32.4,36.1,139
"4","Gasoline",27.4,33.8,182
"4","Gasoline",29.5,37.4,262
"3","Gasoline",26.7,35.7,189
"6","Hybrid",22.4,26.6,387
"4","Gasoline",36.6,42.7,179
"6","Gasoline",34.7,39.5,310
"6","Gasoline",31.2,36,257
"6","Hybrid",18.4,23.5,439
"4","Diesel",42.9,50,186
"4","Hybrid",21.1,24.2,508
"4","Hybrid",19,24.9,196
"6","Gasoline",36.8,41.1,111
"4","Gasoline",29,38.8,292
"6","Gasoline",17.1,24.2,507
"6","Gasoline",27.4,36.5,236
"4","Diesel",42,46.4,155
"4","Gasoline",36.5,45.2,151
"6","Gasoline",27.7,33.6,189
"4","Diesel",21.7,25.9,493
"3","Diesel",37.1,45.4,154
"6","Diesel",46.1,54.4,187
"4","Gasoline",37.6,47.6,250
"8","Hybrid",43.5,52,83
"6","Gasoline",33.3,37.3,115
"6","Gasoline",40.1,45.4,156
"4","Diesel",46.4,52.6,199
"4","Hybrid",42.1,46,137
"4","Gasoline",46.8,55.3,74
"4","Gasoline",30.1,36.8,187
"4","Gasoline",46.6,56.2,88
"4","Gasoline",36.8,43.9,141
"4","Hybrid",45.5,52.2,136
"4","Gasoline",16.4,19.9,268
"6","Diesel",38,42,248
"4","Diesel",44.7,53.6,122
"3","Gasoline",21.1,31,366
"6","Gasoline",38.2,44.1,219
"8","Gasoline",43.9,52.6,241
"4","Gasoline",25.1,32.5,157
"4","Gasoline",29.2,38.9,165
"4","Gasoline",34.9,39.6,304
"8","Hybrid",33.2,40,299
"6","Gasoline",16.4,22.3,281
"6","Diesel",18.5,25.3,214
"4","Gasoline",18.5,23.4,537
"4","Diesel",24.2,30.7,193
"3","Hybrid",23.6,31,417
"6","Gasoline",41,44.6,284
"6","Hybrid",35,43.2,145
"8","Diesel",41.7,49.6,243
"4","Hybrid",17.4,26.6,339
"3","Diesel",32,38,304
"4","Gasoline",26.3,29.7,261
"6","Gasoline",44.7,50.9,91
"6","Gasoline",39.8,43.8,239
"4","Gasoline",45.4,52.9,103
"4","Hybrid",16.6,19.9,650
"4","Diesel",40.2,45.8,172
"4","Gasoline",33.9,37.5,125
"6","Hybrid",43.9,46.9,127
"4","Diesel",32.8,42.5,300
"6","Gasoline",33.9,43.9,169
"4","Gasoline",16.8,23.7,555
"6","Gasoline",38.4,43.1,129
