Vehicle_ID,Engine_Size,Cylinders,Fuel_Type,City_MPG,Highway_MPG,CO2_Emissions
1,2.5,4,Diesel,37.3,42.4,280.0
2,4.8,4,Gasoline,31.1,34.800000000000004,245.0
3,3.9,4,Gasoline,48.8,52.699999999999996,108.0
4,3.4,6,Diesel,22.7,27.0,410.0
5,1.6,4,Gasoline,35.6,40.0,196.0
6,1.6,6,Diesel,39.5,44.2,214.0
7,1.2,3,Hybrid,43.9,48.699999999999996,101.0
8,4.5,6,Gasoline,29.2,35.4,287.0
9,3.4,6,Diesel,39.0,45.6,166.0
10,3.8,6,Gasoline,25.6,30.8,237.0
11,1.1,6,Gasoline,30.2,39.6,353.0
12,4.9,6,Gasoline,46.3,53.199999999999996,151.0
13,4.3,8,Gasoline,48.2,56.7,185.0
14,1.8,4,Gasoline,40.2,49.7,206.0
15,1.7,4,Gasoline,28.1,32.2,155.0
16,1.7,3,Hybrid,43.7,49.7,220.0
17,2.2,3,Diesel,15.9,21.9,348.0
18,3.1,4,Hybrid,18.6,24.1,503.0
19,2.7,4,Gasoline,38.1,41.2,229.0
20,2.2,4,Gasoline,25.2,33.9,221.0
21,3.4,4,Gasoline,48.3,52.099999999999994,137.0
22,1.6,3,Gasoline,30.3,40.3,288.0
23,2.2,8,Gasoline,30.0,38.4,250.0
24,2.5,3,Diesel,38.7,45.800000000000004,227.0
25,2.8,6,Gasoline,41.9,46.0,117.0
26,4.1,4,Gasoline,31.6,38.2,305.0
27,1.8,8,Gasoline,22.5,27.3,263.0
28,3.1,6,Gasoline,42.1,46.9,206.0
29,3.4,6,Gasoline,26.2,35.0,155.0
30,1.2,6,Gasoline,21.1,26.8,274.0
31,3.4,3,Diesel,37.1,43.300000000000004,235.0
32,1.7,8,Gasoline,18.2,27.1,271.0
33,1.3,6,Diesel,49.0,52.6,225.0
34,4.8,6,Gasoline,37.1,44.300000000000004,234.0
35,4.9,6,Gasoline,49.5,56.5,214.0
36,4.2,4,Hybrid,26.9,32.9,241.0
37,2.2,6,Gasoline,49.0,57.8,76.0
38,1.4,4,Gasoline,20.1,29.700000000000003,353.0
39,3.7,4,Hybrid,16.4,22.7,344.0
40,2.8,3,Gasoline,16.2,22.4,397.0
41,1.5,8,Gasoline,31.3,37.8,281.0
42,3.0,4,Diesel,17.9,26.0,450.0
43,1.1,4,Diesel,32.9,40.6,109.0
44,4.6,4,Gasoline,26.5,31.1,364.0
45,2.0,6,Gasoline,26.7,30.099999999999998,284.0
46,3.7,6,Hybrid,37.2,46.800000000000004,205.0
47,2.2,4,Gasoline,20.7,25.5,275.0
48,3.1,3,Gasoline,41.8,49.3,163.0
49,3.2,6,Gasoline,35.4,44.2,250.0
50,1.7,8,Hybrid,47.0,52.1,213.0
51,4.9,6,Gasoline,27.8,35.2,227.0
52,4.1,4,Diesel,49.4,53.199999999999996,191.0
53,4.8,8,Gasoline,35.2,45.0,150.0
54,4.6,4,Gasoline,49.1,52.5,217.0
55,3.4,4,Diesel,15.9,22.0,479.0
56,4.7,4,Hybrid,40.5,47.3,240.0
57,1.4,4,Gasoline,43.6,52.1,166.0
58,1.8,6,Gasoline,16.9,20.7,306.0
59,1.2,4,Hybrid,35.3,41.4,196.0
60,2.3,4,Diesel,43.1,48.2,155.0
61,2.6,4,Gasoline,34.6,39.800000000000004,179.0
62,2.1,3,Gasoline,17.2,25.7,261.0
63,4.3,4,Diesel,39.3,42.3,255.0
64,2.4,4,Diesel,17.1,25.3,213.0
65,2.1,4,Hybrid,43.6,52.3,240.0
66,3.2,6,Gasoline,16.5,25.8,250.0
67,1.6,6,Gasoline,19.8,27.200000000000003,524.0
68,4.2,6,Diesel,24.6,29.900000000000002,455.0
69,1.3,4,Gasoline,37.2,43.2,180.0
70,4.9,6,Gasoline,49.2,59.0,229.0
71,4.1,8,Gasoline,19.1,28.3,479.0
72,1.8,6,Gasoline,20.0,26.2,194.0
73,1.0,6,Gasoline,27.9,37.5,368.0
74,4.3,4,Diesel,44.3,53.099999999999994,85.0
75,3.8,8,Diesel,31.4,40.7,148.0
76,3.9,4,Gasoline,26.3,34.1,294.0
77,4.1,4,Gasoline,34.6,43.6,114.0
78,1.3,4,Gasoline,24.1,33.3,180.0
79,2.4,3,Diesel,29.0,32.6,393.0
80,1.5,8,Gasoline,26.6,36.400000000000006,395.0
81,4.5,4,Diesel,43.1,48.4,235.0
82,3.5,4,Gasoline,47.3,53.4,164.0
83,2.3,6,Gasoline,41.6,50.1,254.0
84,1.3,4,Diesel,30.4,38.1,138.0
85,2.2,3,Gasoline,32.7,42.0,321.0
86,2.3,6,Gasoline,19.4,25.2,306.0
87,3.9,6,Gasoline,41.1,46.7,257.0
88,3.6,4,Gasoline,35.9,39.1,256.0
89,4.5,6,Gasoline,46.6,52.800000000000004,245.0
90,2.9,4,Gasoline,22.0,30.1,434.0
91,1.5,4,Diesel,41.6,46.7,261.0
92,3.9,4,Diesel,39.0,45.2,220.0
93,4.0,4,Diesel,24.3,28.8,416.0
94,3.2,6,Gasoline,38.4,46.8,244.0
95,4.1,6,Diesel,47.4,50.8,105.0
96,3.0,4,Gasoline,47.1,55.0,185.0
97,3.1,4,Gasoline,40.2,45.900000000000006,117.0
98,2.7,6,Gasoline,16.7,20.0,619.0
99,1.1,4,Hybrid,45.5,54.5,87.0
100,1.4,4,Gasoline,38.0,44.4,301.0
101,1.1,8,Hybrid,25.9,33.1,246.0
102,3.5,6,Gasoline,21.6,29.700000000000003,204.0
103,2.3,8,Gasoline,19.1,26.700000000000003,521.0
104,3.0,4,Gasoline,16.8,24.9,199.0
105,4.6,6,Diesel,41.4,49.7,173.0
106,2.0,4,Gasoline,23.3,30.4,391.0
107,2.6,4,Hybrid,15.8,21.4,351.0
108,4.0,4,Hybrid,28.9,33.6,268.0
109,1.9,4,Diesel,31.9,41.2,270.0
110,1.3,4,Gasoline,20.9,30.7,468.0
111,2.2,4,Hybrid,16.5,22.0,241.0
112,1.6,3,Hybrid,21.6,25.400000000000002,218.0
113,4.7,6,Gasoline,38.8,43.4,200.0
114,4.2,4,Diesel,17.9,25.599999999999998,341.0
115,3.5,3,Gasoline,34.4,38.6,201.0
116,4.5,4,Gasoline,20.1,28.6,261.0
117,4.2,4,Gasoline,21.8,31.3,326.0
118,1.7,6,Gasoline,28.8,38.5,341.0
119,4.6,3,Gasoline,18.5,21.6,257.0
120,3.2,6,Gasoline,21.1,30.8,217.0
121,4.2,3,Diesel,27.2,35.4,307.0
122,4.6,4,Hybrid,26.5,30.1,150.0
123,2.3,6,Hybrid,41.2,47.1,218.0
124,1.4,6,Gasoline,17.6,25.5,302.0
125,1.9,3,Diesel,45.1,54.8,138.0
126,2.7,6,Gasoline,43.6,47.7,160.0
127,4.3,4,Diesel,41.8,45.699999999999996,156.0
128,4.4,6,Gasoline,25.8,32.1,384.0
129,1.0,6,Gasoline,43.8,53.599999999999994,247.0
130,3.0,6,Diesel,21.4,31.2,325.0
131,2.7,8,Gasoline,19.4,24.0,407.0
132,1.9,4,Gasoline,16.6,21.8,227.0
133,1.5,6,Hybrid,47.9,57.3,190.0
134,2.4,4,Gasoline,25.8,33.9,297.0
135,4.8,3,Gasoline,47.1,56.900000000000006,81.0
136,2.3,3,Gasoline,24.5,33.8,188.0
137,3.1,4,Gasoline,46.8,51.3,112.0
138,3.8,6,Gasoline,46.6,54.900000000000006,103.0
139,2.5,4,Diesel,47.3,50.599999999999994,194.0
140,4.9,4,Gasoline,32.4,41.099999999999994,323.0
141,4.8,3,Hybrid,45.3,52.5,213.0
142,2.0,4,Gasoline,48.3,58.0,149.0
143,3.0,8,Gasoline,26.4,36.099999999999994,233.0
144,2.2,4,Diesel,29.7,33.1,227.0
145,2.1,6,Diesel,40.2,44.300000000000004,213.0
146,1.1,6,Diesel,25.5,31.9,240.0
147,3.4,6,Hybrid,41.4,50.599999999999994,125.0
148,3.0,4,Gasoline,17.6,26.3,411.0
